S.n,Day,Source,Item,Quantity,Total Weight
49,1/29/2020,Local Grocery,Canned Vegetables,37,0
50,1/30/2020,University Club,Peanut Butter Crackers,37,0
51,1/30/2020,University Club,Laundry Detergent,40,0
52,1/30/2020,Anonymous donor,Granola Bars,30,0
53,2/1/2020,Community Center,Beefaroni,58,0
54,2/2/2020,Anonymous donor,Pasta,34,0
55,2/2/2020,Individual Donor,Canned Vegetables,34,0
56,2/3/2020,University Club,Canned Beans,36,0
57,2/4/2020,Local Grocery,Feminine Products (Pads),40,0
58,2/6/2020,Homecoming Philanthropy,Granola Bars,51,0
59,2/7/2020,Local Grocery,Canned Beans,38,0
60,2/7/2020,Starting Inventory,Feminine Products (Pads),40,0
61,2/8/2020,University Club,Peanut Butter Crackers,32,0
62,2/8/2020,Starting Inventory,Ramen,27,0
63,2/8/2020,HAFB,Rice Krispies Treats,29,0
64,2/9/2020,University Club,Canned Vegetables,29,0
65,2/10/2020,University Club,Canned Beans,32,0
66,2/11/2020,Local Grocery,Canned Beans,36,0
67,2/11/2020,Local Grocery,Applesauce (ind),41,0
68,2/11/2020,HAFB,Toothpaste,29,0
69,2/12/2020,Individual Donor,Notebooks,36,0
70,2/12/2020,Local Grocery,Granola Bars,32,0
71,2/12/2020,Anonymous donor,Scent Booster,43,0
72,2/12/2020,HAFB,Scent Booster,47,0
73,2/13/2020,Homecoming Philanthropy,Cereal,27,0
74,2/13/2020,Individual Donor,Fruit cup,29,0
75,2/13/2020,Community Center,Toothpaste,47,0
76,2/14/2020,HAFB,Fruit cup,38,0
77,2/14/2020,HAFB,Peanut Butter Crackers,34,0
78,2/14/2020,University Club,Rice Krispies Treats,29,0
79,2/14/2020,HAFB,Peanut Butter Crackers,36,0
80,2/15/2020,University Club,Pencils,38,0
81,2/15/2020,Individual Donor,Canned Vegetables,18,0
82,2/17/2020,HAFB,Scent Booster,38,0
83,2/18/2020,Anonymous donor,Softener,40,0
84,2/18/2020,HAFB,Canned Vegetables,29,0
85,2/18/2020,Community Center,Rice,31,0
86,2/19/2020,Individual Donor,Cheese Crackers,40,0
87,2/20/2020,MGM Non-profit,Toilet Paper,31,0
88,2/20/2020,HAFB,Rice,43,0
89,2/21/2020,Community Center,Toilet Paper,29,0
90,2/21/2020,HAFB,Juice Boxes,32,0
91,2/21/2020,Anonymous donor,Pork and Beans,25,0
92,2/22/2020,Local Grocery,Canned Beans,32,0
93,2/23/2020,Local Grocery,Fruit cup,32,0
94,2/23/2020,Community Center,Softener,43,0
95,2/23/2020,HAFB,Scent Booster,29,0
96,2/24/2020,Individual Donor,Bean with Bacon Soup,45,0
97,2/24/2020,Community Center,Rice,27,0
98,2/25/2020,HAFB,Cereal,21,0
99,2/25/2020,Anonymous donor,Laundry Detergent,23,0
100,2/26/2020,Community Center,Toilet Paper,21,0
101,2/27/2020,HAFB,Scent Booster,38,0
102,2/27/2020,Individual Donor,Toilet Paper,25,0
103,2/28/2020,Local Grocery,Laundry Detergent,38,0
104,2/29/2020,Individual Donor,Rice Krispies Treats,40,0
105,2/29/2020,HAFB,Granola Bars,58,0
106,3/1/2020,Local Grocery,Granola Bars,22,0
107,3/1/2020,HAFB,Juice Boxes,42,0
108,3/1/2020,HAFB,Peanut Butter Crackers,41,0
109,3/1/2020,Starting Inventory,Peanut Butter Crackers,27,0
110,3/2/2020,Anonymous donor,Juice Boxes,30,0
111,3/3/2020,MGM Non-profit,Ramen,29,0
112,3/4/2020,HAFB,Garbanzo Beans,30,0
113,3/5/2020,Local Grocery,Pasta,13,0
114,3/5/2020,University Club,Toothpaste,30,0
115,3/6/2020,University Club,Toilet Paper,27,0
116,3/6/2020,HAFB,Applesauce (ind),25,0
117,3/7/2020,University Club,Canned Vegetables,34,0
118,3/8/2020,Anonymous donor,Toilet Paper,42,0
119,3/9/2020,University Club,Toilet Paper,29,0
120,3/10/2020,Individual Donor,Laundry Detergent,36,0
121,3/10/2020,University Club,Cereal,25,0
122,3/11/2020,Individual Donor,Ramen,32,0
123,3/12/2020,HAFB,Canned Vegetables,36,0
124,3/12/2020,HAFB,Applesauce (ind),30,0
125,3/14/2020,University Club,Rice Krispies Treats,30,0
126,3/15/2020,HAFB,Nutri Grain Bars,24,0
127,3/17/2020,Individual Donor,Pasta,34,0
128,3/17/2020,HAFB,Rice,22,0
129,3/17/2020,Anonymous donor,Rice,34,0
130,3/17/2020,HAFB,Applesauce (ind),32,0
131,3/17/2020,Anonymous donor,Vienna Sausages,36,0
132,3/18/2020,Anonymous donor,Rice Krispies Treats,39,0
133,3/18/2020,HAFB,Rice,34,0
134,3/19/2020,Anonymous donor,Pasta,32,0
135,3/19/2020,Local Grocery,Peanut Butter Crackers,42,0
136,3/20/2020,HAFB,Peanut Butter Crackers,37,0
137,3/20/2020,Local Grocery,Peanut Butter Crackers,32,0
138,3/22/2020,HAFB,Granola Bars,36,0
139,3/23/2020,Local Grocery,Softener,39,0
140,3/23/2020,HAFB,Rice,29,0
141,3/24/2020,HAFB,Juice Boxes,32,0
142,3/24/2020,Anonymous donor,Rice Krispies Treats,30,0
143,3/25/2020,Individual Donor,Granola Bars,54,0
144,3/26/2020,First Year Studies Troy University,Peanut Butter,29,0
145,3/27/2020,Community Center,Laundry Detergent,22,0
146,3/27/2020,HAFB,Fruit cup,34,0
147,3/28/2020,Community Center,Pasta,32,0
148,3/28/2020,HAFB,Pasta,37,0
149,3/29/2020,University Club,Rice Krispies Treats,32,0
150,3/29/2020,HAFB,Toothpaste,34,0
151,3/31/2020,Local Grocery,Spaghetti Rings Pasta,48,0
152,4/1/2020,HAFB,Spaghetti Rings Pasta,27,0
153,4/3/2020,HAFB,Juice Boxes,27,0
154,4/3/2020,Individual Donor,Ramen,27,0
155,4/3/2020,Anonymous donor,Canned Beans,23,0
156,4/3/2020,Local Grocery,Pasta,18,0
157,4/4/2020,HAFB,Fruit / Cereal / Breakfast Bar,38,0
158,4/4/2020,HAFB,Rice,25,0
159,4/5/2020,HAFB,Fruit cup,39,0
160,4/5/2020,Community Center,Pasta,36,0
161,4/5/2020,Anonymous donor,Rice,32,0
162,4/7/2020,Anonymous donor,Peanut Butter Crackers,32,0
163,4/9/2020,Anonymous donor,Cereal,50,0
164,4/10/2020,sorority,Softener,39,0
165,4/10/2020,Local Grocery,Toilet Paper,39,0
166,4/10/2020,HAFB,Softener,36,0
167,4/13/2020,University Club,Canned Beans,36,0
168,4/13/2020,University Club,Granola Bars,38,0
169,4/14/2020,HAFB,Juice Boxes,28,0
170,4/14/2020,Starting Inventory,Toilet Paper,39,0
171,4/14/2020,University Club,Rice Krispies Treats,30,0
172,4/14/2020,Community Center,Softener,39,0
173,4/15/2020,Anonymous donor,Peanut Butter Crackers,27,0
174,4/15/2020,Individual Donor,Applesauce (ind),39,0
175,4/15/2020,Starting Inventory,Peanut Butter Crackers,45,0
176,4/16/2020,Local Grocery,Toilet Paper,28,0
177,4/16/2020,HAFB,Peanut Butter Crackers,30,0
178,4/17/2020,Individual Donor,Ramen,38,0
179,4/17/2020,Anonymous donor,Rice,28,0
180,4/18/2020,HAFB,Feminine Products (Pads),38,0
181,4/18/2020,Anonymous donor,Pasta,38,0
182,4/18/2020,Anonymous donor,Fruit cup,32,0
183,4/18/2020,Anonymous donor,Pasta,45,0
184,4/18/2020,Community Center,Granola Bars,32,0
185,4/19/2020,HAFB,Tomato Soup,28,0
186,4/20/2020,Local Grocery,Granola Bars,45,0
187,4/21/2020,Anonymous donor,Canned Beans,32,0
188,4/21/2020,Anonymous donor,Spaghetti Rings Pasta,41,0
189,4/21/2020,HAFB,Applesauce (ind),32,0
190,4/22/2020,Local Grocery,Applesauce (ind),39,0
191,4/23/2020,University Club,Canned Beans,36,0
192,4/23/2020,HAFB,Applesauce (ind),23,0
193,4/24/2020,Homecoming Philanthropy,Scent Booster,50,0
194,4/24/2020,Local Grocery,Mac and Cheese,36,0
195,4/24/2020,HAFB,Cereal,32,0
196,4/25/2020,Anonymous donor,Juice Boxes,28,0
197,4/27/2020,Community Center,Scent Booster,63,0
198,4/27/2020,HAFB,Toilet Paper,38,0
199,4/28/2020,Homecoming Philanthropy,Rice,43,0
200,4/30/2020,Anonymous donor,Scent Booster,32,0
201,4/30/2020,Local Grocery,Shampoo,45,0
202,5/1/2020,HAFB,Green Beans,16,0
203,5/3/2020,Can Castle Contest,Scent Booster,25,0
204,5/5/2020,Individual Donor,Peanut Butter Crackers,18,0
205,5/6/2020,Anonymous donor,Scent Booster,33,0
206,5/6/2020,Homecoming Philanthropy,Pear Halves,20,0
207,5/7/2020,Anonymous donor,Spaghetti Rings Pasta,26,0
208,5/8/2020,University Club,Peanut Butter Crackers,22,0
209,5/8/2020,University Club,Spaghetti Rings Pasta,25,0
210,5/8/2020,Local Grocery,Fruit / Cereal / Breakfast Bar,27,0
211,5/8/2020,HAFB,Applesauce (ind),33,0
212,5/8/2020,HAFB,Granola Bars,26,0
213,5/9/2020,HAFB,Rice Krispies Treats,26,0
214,5/9/2020,Anonymous donor,Chicken Noodle Soup,32,0
215,5/12/2020,Individual Donor,Granola Bars,29,0
216,5/12/2020,HAFB,Cereal,41,0
217,5/13/2020,University Club,Scent Booster,29,0
218,5/13/2020,Homecoming Philanthropy,Cereal,25,0
219,5/13/2020,sorority,Toilet Paper,30,0
220,5/15/2020,Individual Donor,Canned Vegetables,40,0
221,5/15/2020,Anonymous donor,Canned Vegetables,34,0
222,5/15/2020,Starting Inventory,Rice,29,0
223,5/16/2020,University Club,Rice Krispies Treats,22,0
224,5/16/2020,Local Grocery,Laundry Detergent,33,0
225,5/16/2020,Community Center,Corn,26,0
226,5/16/2020,Local Grocery,Laundry Detergent,22,0
227,5/17/2020,Individual Donor,Spaghetti Rings Pasta,19,0
228,5/18/2020,Individual Donor,Rice,32,0
229,5/18/2020,Individual Donor,Ravioli,20,0
230,5/19/2020,Community Center,Peanut Butter Crackers,30,0
231,5/19/2020,HAFB,Rice,26,0
232,5/20/2020,University Club,Juice Boxes,19,0
233,5/20/2020,Homecoming Philanthropy,Toilet Paper,30,0
234,5/21/2020,HAFB,Rice Krispies Treats,26,0
235,5/23/2020,Community Center,Canned Vegetables,30,0
236,5/23/2020,Individual Donor,Canned Vegetables,32,0
237,5/24/2020,Anonymous donor,Applesauce (ind),34,0
238,5/25/2020,Individual Donor,Spaghetti Rings Pasta,27,0
239,5/25/2020,HAFB,Fruit cup,36,0
240,5/25/2020,Anonymous donor,Ramen,27,0
241,5/26/2020,Individual Donor,Softener,33,0
242,5/27/2020,University Club,Scent Booster,36,0
243,5/27/2020,sorority,Oatmeal,22,0
244,5/28/2020,HAFB,Juice Boxes,32,0
245,5/28/2020,HAFB,Chicken and Dumplings,34,0
246,5/29/2020,Individual Donor,Spaghetti Rings Pasta,30,0
247,5/29/2020,Community Center,Peanut Butter,32,0
248,5/29/2020,Starting Inventory,Scent Booster,29,0
249,5/29/2020,Local Grocery,Applesauce (ind),30,0
250,5/30/2020,Community Center,Canned Vegetables,20,0
251,5/31/2020,University Club,Juice Boxes,23,0
252,6/1/2020,Individual Donor,Feminine Products (Pads),28,0
253,6/2/2020,Community Center,Cereal,25,0
254,6/2/2020,Individual Donor,Juice Boxes,30,0
255,6/3/2020,HAFB,Toilet Paper,34,0
256,6/5/2020,University Club,Scent Booster,30,0
257,6/6/2020,Anonymous donor,Softener,31,0
258,6/6/2020,Community Center,Canned Beans,42,0
259,6/7/2020,Local Grocery,Canned Beans,25,0
260,6/7/2020,University Club,Rice Krispies Treats,32,0
261,6/7/2020,University Club,Granola Bars,34,0
262,6/8/2020,HAFB,Pasta,31,0
263,6/10/2020,University Club,Peanut Butter Crackers,32,0
264,6/10/2020,HAFB,Softener,20,0
265,6/10/2020,Individual Donor,Scent Booster,31,0
266,6/11/2020,HAFB,Spaghetti Noodles,30,0
267,6/11/2020,Local Grocery,Scent Booster,24,0
268,6/12/2020,University Club,Juice Boxes,32,0
269,6/12/2020,Individual Donor,Softener,20,0
270,6/13/2020,HAFB,Granola Bars,30,0
271,6/14/2020,HAFB,Applesauce (ind),20,0
272,6/15/2020,University Club,Scent Booster,28,0
273,6/16/2020,Starting Inventory,Spaghetti Rings Pasta,28,0
274,6/16/2020,HAFB,Peanut Butter Crackers,30,0
275,6/17/2020,Individual Donor,Softener,21,0
276,6/17/2020,HAFB,Juice Boxes,32,0
277,6/18/2020,HAFB,Applesauce (ind),32,0
278,6/19/2020,Local Grocery,Peanut Butter Crackers,31,0
279,6/20/2020,Anonymous donor,Cereal,27,0
280,6/20/2020,HAFB,Granola Bars,28,0
281,6/20/2020,Community Center,Applesauce (ind),31,0
282,6/21/2020,University Club,Oatmeal,21,0
283,6/21/2020,HAFB,Applesauce (ind),30,0
284,6/21/2020,Anonymous donor,Juice Boxes,25,0
285,6/23/2020,Local Grocery,Pens,21,0
286,6/24/2020,Community Center,Toilet Paper,31,0
287,6/24/2020,HAFB,Scent Booster,30,0
288,6/24/2020,Individual Donor,Juice Boxes,31,0
289,6/25/2020,Individual Donor,Canned Vegetables,30,0
290,6/25/2020,Community Center,Toothpaste,34,0
291,6/26/2020,HAFB,Toothpaste,40,0
292,6/26/2020,Individual Donor,Applesauce (ind),18,0
293,6/26/2020,HAFB,Granola Bars,34,0
294,6/29/2020,HAFB,Rice Krispies Treats,35,0
295,6/29/2020,Starting Inventory,Fruit cup,34,0
296,6/29/2020,HAFB,Pasta,31,0
297,6/29/2020,Local Grocery,Granola Bars,30,0
298,6/30/2020,University Club,Rice,20,0
299,6/30/2020,Individual Donor,Laundry Detergent,30,0
300,6/30/2020,HAFB,Peanut Butter Crackers,25,0
301,7/1/2020,Individual Donor,Feminine Products (Pads),2,0
302,7/2/2020,HAFB,Peanut Butter Crackers,2,0
303,7/2/2020,Community Center,Granola Bars,2,0
304,7/3/2020,University Club,Spaghetti Rings Pasta,2,0
305,7/3/2020,Anonymous donor,Spaghetti Rings Pasta,2,0
306,7/4/2020,HAFB,Fruit cup,1,0
307,7/5/2020,Anonymous donor,Toilet Paper,3,0
308,7/5/2020,Community Center,Makeup remover,2,0
309,7/5/2020,University Club,Softener,2,0
310,7/5/2020,Anonymous donor,Toilet Paper,3,0
311,7/5/2020,HAFB,Ramen,3,0
312,7/5/2020,HAFB,Cereal,2,0
313,7/6/2020,Individual Donor,Deodorant,2,0
314,7/6/2020,Individual Donor,Highlighters,2,0
315,7/7/2020,Anonymous donor,Juice Boxes,2,0
316,7/7/2020,Local Grocery,Ramen,2,0
317,7/7/2020,Community Center,Rice Krispies Treats,2,0
318,7/9/2020,HAFB,Fruit cup,2,0
319,7/9/2020,Starting Inventory,Laundry Detergent,2,0
320,7/10/2020,HAFB,Ramen,2,0
321,7/11/2020,Anonymous donor,Cereal,2,0
322,7/12/2020,Individual Donor,Peanut Butter Crackers,2,0
323,7/12/2020,HAFB,Pasta,2,0
324,7/13/2020,University Club,Rice,2,0
325,7/13/2020,HAFB,Toilet Paper,3,0
326,7/14/2020,University Club,Granola Bars,1,0
327,7/15/2020,HAFB,Canned Vegetables,2,0
328,7/16/2020,University Club,Scent Booster,2,0
329,7/17/2020,Community Center,Juice Boxes,3,0
330,7/18/2020,Individual Donor,Spaghetti Rings Pasta,2,0
331,7/19/2020,HAFB,Chips/Crackers,2,0
332,7/19/2020,HAFB,Scent Booster,1,0
333,7/22/2020,Local Grocery,Ramen,2,0
334,7/22/2020,Individual Donor,Canned Beans,1,0
335,7/22/2020,HAFB,Fruit cup,2,0
336,7/22/2020,Local Grocery,Rice Krispies Treats,2,0
337,7/23/2020,HAFB,Ramen,2,0
338,7/24/2020,Community Center,Granola Bars,2,0
339,7/26/2020,First Year Studies Troy University,Canned Vegetables,3,0
340,7/26/2020,Anonymous donor,Chunk Chicken Breast,1,0
341,7/26/2020,Individual Donor,Softener,2,0
342,7/26/2020,Anonymous donor,Spaghetti Rings Pasta,2,0
343,7/29/2020,sorority,Rice Krispies Treats,2,0
344,7/30/2020,HAFB,Toilet Paper,2,0
345,7/30/2020,Community Center,Ramen,2,0
346,7/30/2020,HAFB,Fruit cup,2,0
347,7/31/2020,University Club,Rice,2,0
348,7/31/2020,University Club,Toilet Paper,2,0
349,8/1/2020,Anonymous donor,Fruit Cocktail,4,0
350,8/3/2020,Anonymous donor,Spaghetti Rings Pasta,4,0
351,8/3/2020,HAFB,Chips/Crackers,5,0
352,8/4/2020,HAFB,Toilet Paper,4,0
353,8/5/2020,Individual Donor,Granola / Snack Bars,5,0
354,8/5/2020,Anonymous donor,Cereal,4,0
355,8/7/2020,Anonymous donor,Scent Booster,5,0
356,8/8/2020,Local Grocery,Laundry Detergent,5,0
357,8/9/2020,Local Grocery,Toilet Paper,4,0
358,8/10/2020,Anonymous donor,Toilet Paper,3,0
359,8/10/2020,Local Grocery,Granola Bars,34,0
360,8/11/2020,HAFB,Softener,5,0
361,8/12/2020,HAFB,Softener,3,0
362,8/12/2020,Individual Donor,Canned Beans,6,0
363,8/13/2020,Anonymous donor,Spaghetti Rings Pasta,5,0
364,8/14/2020,Community Center,Spaghetti Rings Pasta,4,0
365,8/15/2020,HAFB,Rice,5,0
366,8/17/2020,Individual Donor,Granola Bars,5,0
367,8/18/2020,HAFB,Spaghetti Rings Pasta,2,0
368,8/19/2020,HAFB,Spaghetti Rings Pasta,4,0
369,8/19/2020,sorority,Canned Vegetables,3,0
370,8/20/2020,Anonymous donor,Cereal,5,0
371,8/20/2020,Anonymous donor,Ramen,4,0
372,8/21/2020,University Club,Canned Beans,5,0
373,8/21/2020,Anonymous donor,Scent Booster,5,0
374,8/21/2020,Local Grocery,Scent Booster,5,0
375,8/22/2020,Anonymous donor,Toilet Paper,4,0
376,8/23/2020,Individual Donor,Canned Beans,6,0
377,8/23/2020,First Year Studies Troy University,Rice,5,0
378,8/23/2020,Individual Donor,Canned Beans,4,0
379,8/24/2020,HAFB,Softener,4,0
380,8/24/2020,Starting Inventory,Rice,5,0
381,8/24/2020,First Year Studies Troy University,Rice,4,0
382,8/25/2020,HAFB,Softener,3,0
383,8/26/2020,HAFB,Toilet Paper,6,0
384,8/26/2020,Anonymous donor,Pasta,3,0
385,8/28/2020,HAFB,Toothpaste,5,0
386,8/29/2020,HAFB,Oatmeal,5,0
387,8/29/2020,HAFB,Mac and Cheese,4,0
388,8/29/2020,HAFB,Canned Vegetables,4,0
389,8/29/2020,University Club,Pens,5,0
390,8/29/2020,HAFB,Peanut Butter,3,0
391,8/29/2020,Anonymous donor,Pasta,5,0
392,8/30/2020,Community Center,Toothpaste,6,0
393,8/30/2020,Starting Inventory,Granola Bars,4,0
394,8/31/2020,Individual Donor,Rice Krispies Treats,2,0
395,8/31/2020,Anonymous donor,Cereal,5,0
396,9/1/2020,Individual Donor,Rice Krispies Treats,9,0
397,9/1/2020,Local Grocery,Applesauce (ind),8,0
398,9/1/2020,Anonymous donor,Laundry Detergent,5,0
399,9/2/2020,Community Center,Toothpaste,9,0
400,9/5/2020,University Club,Canned Vegetables,8,0
401,9/5/2020,HAFB,Juice Boxes,9,0
402,9/5/2020,Anonymous donor,Pasta,6,0
403,9/5/2020,Anonymous donor,Toilet Paper,10,0
404,9/5/2020,HAFB,Chili Beans,6,0
405,9/5/2020,Local Grocery,Granola Bars,8,0
406,9/6/2020,Local Grocery,Scent Booster,6,0
407,9/6/2020,Local Grocery,Canned Vegetables,8,0
408,9/7/2020,Anonymous donor,Canned Beans,6,0
409,9/9/2020,Individual Donor,Nutri Grain Bars,11,0
410,9/9/2020,University Club,Ramen,6,0
411,9/10/2020,Anonymous donor,Rice Krispies Treats,11,0
412,9/10/2020,Community Center,Green Beans,6,0
413,9/10/2020,Community Center,Scent Booster,6,0
414,9/11/2020,HAFB,Spaghetti Noodles,6,0
415,9/12/2020,HAFB,Feminine Products (Pads),6,0
416,9/13/2020,Individual Donor,Applesauce (ind),8,0
417,9/14/2020,University Club,Scent Booster,8,0
418,9/14/2020,HAFB,Granola Bars,3,0
419,9/14/2020,Starting Inventory,Bar Soap,6,0
420,9/14/2020,HAFB,Scent Booster,7,0
421,9/16/2020,University Club,Cereal,8,0
422,9/16/2020,HAFB,Scent Booster,3,0
423,9/17/2020,MGM Non-profit,Rice Krispies Treats,8,0
424,9/17/2020,University Club,Ramen,8,0
425,9/20/2020,University Club,Canned Beans,12,0
426,9/21/2020,Homecoming Philanthropy,Spaghetti Rings Pasta,8,0
427,9/22/2020,HAFB,Laundry Detergent,7,0
428,9/23/2020,Anonymous donor,Toothpaste,6,0
429,9/23/2020,HAFB,Toilet Paper,5,0
430,9/24/2020,Local Grocery,Mac and Cheese,6,0
431,9/24/2020,HAFB,Pasta,8,0
432,9/24/2020,Local Grocery,Cereal,8,0
433,9/24/2020,HAFB,Rice,9,0
434,9/25/2020,Anonymous donor,Granola Bars,8,0
435,9/25/2020,Anonymous donor,Canned Beans,9,0
436,9/26/2020,Police Amnesty Day,Oatmeal,4,0
437,9/27/2020,Troy University Nursing School,Water,6,0
438,9/29/2020,Local Grocery,Campus Kitchens Meals,8,0
439,9/30/2020,sorority,Rice Krispies Treats,5,0
440,9/30/2020,Individual Donor,Juice Boxes,8,0
441,9/30/2020,Individual Donor,Rice Krispies Treats,11,0
442,10/1/2020,Homecoming Philanthropy,Oatmeal,11,0
443,10/2/2020,Starting Inventory,Toilet Paper,14,0
444,10/2/2020,Anonymous donor,Applesauce (ind),11,0
445,10/3/2020,HAFB,Fruit cup,11,0
446,10/3/2020,Local Grocery,"Laundry Detergent, Softener, Scent Booster",9,0
447,10/4/2020,Community Center,Rice Krispies Treats,11,0
448,10/4/2020,MGM Non-profit,Feminine Products (Pads),9,0
449,10/4/2020,HAFB,Scent Booster,9,0
450,10/5/2020,Community Center,Softener,14,0
451,10/5/2020,HAFB,Scent Booster,9,0
452,10/7/2020,Anonymous donor,Juice Boxes,16,0
453,10/9/2020,Community Center,Beefaroni,12,0
454,10/9/2020,Anonymous donor,Toothpaste,9,0
455,10/10/2020,Individual Donor,Fruit cup,11,0
456,10/10/2020,Local Grocery,Rice,12,0
457,10/11/2020,Homecoming Philanthropy,Corn,12,0
458,10/11/2020,Anonymous donor,Pasta,17,0
459,10/11/2020,HAFB,Granola / Snack Bars,11,0
460,10/11/2020,HAFB,Juice Boxes,11,0
461,10/12/2020,Community Center,Laundry Detergent,11,0
462,10/12/2020,HAFB,Toilet Paper,14,0
463,10/13/2020,HAFB,Cereal,9,0
464,10/13/2020,Anonymous donor,Scent Booster,14,0
465,10/13/2020,HAFB,Toilet Paper,7,0
466,10/13/2020,HAFB,Rice Krispies Treats,13,0
467,10/14/2020,Community Center,Canned Vegetables,11,0
468,10/14/2020,Individual Donor,Peanut Butter Crackers,11,0
469,10/15/2020,Anonymous donor,Softener,15,0
470,10/15/2020,HAFB,Toothpaste,15,0
471,10/15/2020,Starting Inventory,Granola Bars,15,0
472,10/15/2020,HAFB,Feminine Products (Pads),10,0
473,10/16/2020,Local Grocery,Canned Beans,16,0
474,10/16/2020,MGM Non-profit,Beets,9,0
475,10/17/2020,Community Center,Applesauce (ind),8,0
476,10/17/2020,University Club,Peanut Butter,17,0
477,10/17/2020,Anonymous donor,Scent Booster,11,0
478,10/20/2020,HAFB,Laundry Detergent,14,0
479,10/20/2020,Anonymous donor,Peanut Butter Crackers,8,0
480,10/20/2020,Local Grocery,Toothpaste,7,0
481,10/21/2020,Anonymous donor,Canned Beans,12,0
482,10/23/2020,Anonymous donor,Ramen,12,0
483,10/23/2020,Anonymous donor,Softener,10,0
484,10/25/2020,Community Center,Granola Bars,9,0
485,10/25/2020,Anonymous donor,Granola Bars,15,0
486,10/26/2020,Homecoming Philanthropy,Toilet Paper,15,0
487,10/26/2020,Anonymous donor,Fruit cup,13,0
488,10/27/2020,Anonymous donor,Canned Beans,15,0
489,10/27/2020,University Club,Spaghetti Rings Pasta,8,0
490,10/29/2020,HAFB,Toothpaste,14,0
491,10/30/2020,Community Center,Granola Bars,8,0
492,10/31/2020,Community Center,Black Beans,11,0
493,10/31/2020,Anonymous donor,Softener,9,0
494,10/31/2020,Anonymous donor,Binders,14,0
495,10/31/2020,Anonymous donor,Peanut Butter,14,0
496,10/31/2020,Local Grocery,Canned Beans,6,0
497,11/1/2020,Individual Donor,Large Bag of Chips,17,0
498,11/1/2020,HAFB,Toilet Paper,12,0
499,11/1/2020,HAFB,Canned Vegetables,8,0
500,11/2/2020,HAFB,Fruit cup,12,0
501,11/2/2020,Anonymous donor,Feminine Products (Pads),13,0
502,11/2/2020,Local Grocery,Applesauce (ind),8,0
503,11/4/2020,Community Center,Granola Bars,9,0
504,11/4/2020,Local Grocery,Pasta,11,0
505,11/5/2020,Local Grocery,Granola Bars,11,0
506,11/6/2020,Individual Donor,Pasta,11,0
507,11/6/2020,HAFB,Canned Vegetables,16,0
508,11/6/2020,Community Center,Peanut Butter Crackers,14,0
509,11/6/2020,Community Center,Toilet Paper,11,0
510,11/6/2020,Community Center,Applesauce (ind),13,0
511,11/8/2020,HAFB,Rice,9,0
512,11/10/2020,HAFB,Applesauce (ind),9,0
513,11/10/2020,Community Center,Fruit cup,10,0
514,11/10/2020,HAFB,Feminine Products (Tampons),10,0
