S.n,Visit Date,Consumer ID,Student Name,Item Taken,Quantity Taken
41,1/26/2020,C005,N/A,Vegetable and Beef Soup,8
42,1/26/2020,C059,N/A,Beets,1
43,1/26/2020,C016,N/A,Grits (can/package),15
44,1/26/2020,C088,N/A,Fruit / Cereal / Breakfast Bar,13
45,1/26/2020,C032,N/A,Tomato Soup,6
46,1/27/2020,C065,N/A,Dental Floss,7
47,1/27/2020,C147,N/A,Sparkling Water,10
48,1/27/2020,C120,N/A,Testing Material/Blue Book/Scantron,5
49,1/28/2020,C091,N/A,Granola / Snack Bars,14
50,1/29/2020,C086,N/A,Green Beans,8
51,1/29/2020,C081,N/A,Page-protector,7
52,1/31/2020,C123,N/A,Applesauce (ind),4
53,2/1/2020,C019,N/A,Washcloth,3
54,2/2/2020,C139,N/A,Nutri Grain Bars,1
55,2/3/2020,C004,N/A,Bread,10
56,2/4/2020,C013,N/A,Peanut Butter Crackers,13
57,2/5/2020,C005,N/A,Grits (ind),6
58,2/5/2020,C064,N/A,Ravioli,11
59,2/6/2020,C126,N/A,Fruit / Cereal / Breakfast Bar,10
60,2/8/2020,C021,N/A,Ramen,14
61,2/9/2020,C027,N/A,Sparkling Water,1
62,2/9/2020,C031,N/A,Light Red Kidney Beans,12
63,2/10/2020,C137,N/A,Canned Beans,3
64,2/10/2020,C069,N/A,Fruit cup,7
65,2/11/2020,C022,N/A,Black Beans,10
66,2/11/2020,C093,N/A,Juice,8
67,2/11/2020,C098,N/A,Alfredo,10
68,2/12/2020,C111,N/A,Testing Material/Blue Book/Scantron,1
69,2/13/2020,C002,N/A,Chips/Crackers,9
70,2/13/2020,C140,N/A,Juice,14
71,2/13/2020,C071,N/A,Feminine Products (Pads),1
72,2/13/2020,C137,N/A,Pear Halves,6
73,2/14/2020,C080,N/A,Makeup remover,5
74,2/15/2020,C021,N/A,Fruit Cocktail,15
75,2/15/2020,C075,N/A,Vienna Sausages,6
76,2/16/2020,C126,N/A,Pineapple,2
77,2/16/2020,C073,N/A,Juice,2
78,2/18/2020,C012,N/A,Chicken and Dumplings,3
79,2/18/2020,C113,N/A,Fruit / Cereal / Breakfast Bar,1
80,2/20/2020,C112,N/A,Shampoo,1
81,2/21/2020,C074,N/A,Cannellini Beans,7
82,2/21/2020,C005,N/A,Granola / Snack Bars,2
83,2/23/2020,C126,N/A,Toilet Paper,10
84,2/24/2020,C117,N/A,Bar Soap,8
85,2/24/2020,C016,N/A,Toothpaste,3
86,2/24/2020,C095,N/A,Nutri Grain Bars,15
87,2/26/2020,C149,N/A,Sparkling Water,10
88,2/26/2020,C050,N/A,Feminine Products (Tampons),4
89,2/26/2020,C081,N/A,Canned Vegetables,3
90,2/26/2020,C097,N/A,Spaghetti Rings Pasta,1
91,2/27/2020,C041,N/A,Cheese Crackers,4
92,2/28/2020,C116,N/A,Alfredo,11
93,2/28/2020,C057,N/A,Binders,4
94,2/29/2020,C011,N/A,Page-protector,11
95,2/29/2020,C091,N/A,Pencils,8
96,3/1/2020,C072,N/A,Corn,10
97,3/1/2020,C007,N/A,Chicken and Dumplings,5
98,3/1/2020,C119,N/A,Corn,1
99,3/2/2020,C088,N/A,Granola / Snack Bars,2
100,3/2/2020,C076,N/A,Bar Soap,3
101,3/3/2020,C099,N/A,Water,10
102,3/4/2020,C073,N/A,Bean with Bacon Soup,3
103,3/5/2020,C027,N/A,Corn,9
104,3/6/2020,C006,N/A,Cake Mix,2
105,3/7/2020,C149,N/A,Fruit Cocktail,12
106,3/7/2020,C091,N/A,Rice,1
107,3/7/2020,C061,N/A,Pinto Beans,2
108,3/8/2020,C150,N/A,Rice,12
109,3/8/2020,C137,N/A,Pencils,2
110,3/9/2020,C037,N/A,Scent Booster,3
111,3/9/2020,C130,N/A,Bodywash,3
112,3/9/2020,C065,N/A,Cake Mix,10
113,3/9/2020,C016,N/A,Highlighters,13
114,3/10/2020,C088,N/A,Cheese Crackers,7
115,3/10/2020,C123,N/A,Grits (can/package),5
116,3/11/2020,C134,N/A,Cheese Crackers,10
117,3/12/2020,C072,N/A,Black Beans,8
118,3/14/2020,C004,N/A,Washcloth,10
119,3/14/2020,C038,N/A,Ramen,11
120,3/16/2020,C128,N/A,Carrots,1
121,3/16/2020,C140,N/A,Granola Bars,9
122,3/17/2020,C068,N/A,Pencils,7
123,3/18/2020,C095,N/A,Toothpaste,2
124,3/20/2020,C107,N/A,Peanut Butter Crackers,6
125,3/21/2020,C035,N/A,Grits (can/package),8
126,3/21/2020,C141,N/A,Toilet Paper,9
127,3/21/2020,C150,N/A,Softener,3
128,3/22/2020,C070,N/A,Grits (ind),9
129,3/22/2020,C114,N/A,Pasta,2
130,3/24/2020,C004,N/A,Binders,11
131,3/24/2020,C067,N/A,Alfredo,1
132,3/24/2020,C054,N/A,Cereal,6
133,3/26/2020,C009,N/A,Pencils,10
134,3/26/2020,C115,N/A,Cheese Crackers,15
135,3/26/2020,C086,N/A,Tomato Soup,5
136,3/27/2020,C002,N/A,Lotion,6
137,3/28/2020,C119,N/A,Shampoo,6
138,3/28/2020,C063,N/A,Pear Halves,15
139,3/28/2020,C082,N/A,Pear Halves,4
140,3/29/2020,C016,N/A,Notebooks,1
141,3/30/2020,C003,N/A,Rice Crisps,1
142,3/30/2020,C080,N/A,Makeup remover,7
143,3/31/2020,C119,N/A,Canned Vegetables,8
144,4/1/2020,C006,N/A,Laundry Detergent,10
145,4/1/2020,C018,N/A,Seasonings,4
146,4/2/2020,C095,N/A,Spaghetti Rings Pasta,9
147,4/2/2020,C104,N/A,Feminine Products (Pads),7
148,4/2/2020,C106,N/A,Pineapple,3
149,4/4/2020,C061,N/A,Alfredo,12
150,4/4/2020,C021,N/A,Peanut Butter Crackers,13
151,4/4/2020,C116,N/A,Dental Floss,2
152,4/4/2020,C046,N/A,Pinto Beans,15
153,4/4/2020,C136,N/A,Deodorant,5
154,4/5/2020,C046,N/A,Large Bag of Chips,15
155,4/5/2020,C142,N/A,Campus Kitchens Meals,11
156,4/5/2020,C020,N/A,Canned Vegetables,8
157,4/6/2020,C027,N/A,Bar Soap,6
158,4/6/2020,C066,N/A,Canned Beans,2
159,4/6/2020,C008,N/A,Light Red Kidney Beans,1
160,4/6/2020,C022,N/A,Broccoli and Cheese,15
161,4/7/2020,C052,N/A,Grits (can/package),13
162,4/8/2020,C004,N/A,Pretzels,6
163,4/8/2020,C084,N/A,Juice,3
164,4/10/2020,C031,N/A,Cereal (ind),10
165,4/10/2020,C136,N/A,Large Bag of Chips,3
166,4/11/2020,C098,N/A,Peanut Butter,9
167,4/13/2020,C083,N/A,Spaghetti Noodles,6
168,4/13/2020,C040,N/A,Juice Boxes,13
169,4/13/2020,C117,N/A,Highlighters,5
170,4/14/2020,C082,N/A,Toilet Paper,11
171,4/14/2020,C095,N/A,Toothpaste,13
172,4/15/2020,C015,N/A,Juice Boxes,2
173,4/16/2020,C149,N/A,Pork and Beans,7
174,4/17/2020,C075,N/A,Chips/Crackers,8
175,4/17/2020,C033,N/A,Pork and Beans,7
176,4/19/2020,C044,N/A,Garbanzo Beans,9
177,4/20/2020,C038,N/A,Cheese Crackers,2
178,4/20/2020,C139,N/A,Peanut Butter,6
179,4/20/2020,C034,N/A,Toothpaste,11
180,4/21/2020,C147,N/A,Alfredo,11
181,4/21/2020,C037,N/A,Cereal (ind),9
182,4/21/2020,C099,N/A,Pork and Beans,4
183,4/22/2020,C125,N/A,Granola Bars,11
184,4/22/2020,C101,N/A,Vienna Sausages,4
185,4/23/2020,C095,N/A,Pens,6
186,4/24/2020,C111,N/A,Water,8
187,4/24/2020,C131,N/A,Toilet Paper,9
188,4/24/2020,C082,N/A,Pickles,2
189,4/25/2020,C149,N/A,Ramen,5
190,4/26/2020,C100,N/A,Grits (ind),6
191,4/27/2020,C034,N/A,Granola Bars,5
192,4/28/2020,C096,N/A,Bodywash,3
193,4/29/2020,C081,N/A,Spaghetti Rings Pasta,14
194,4/29/2020,C137,N/A,Pineapple,7
195,4/29/2020,C090,N/A,Chips/Crackers,11
196,4/30/2020,C018,N/A,Granola Bars,7
197,4/30/2020,C075,N/A,Laundry Detergent,11
198,4/30/2020,C126,N/A,Dental Floss,2
199,5/1/2020,C112,N/A,Pencils,2
200,5/1/2020,C029,N/A,Spaghetti Rings Pasta,2
201,5/2/2020,C005,N/A,Fruit cup,1
202,5/3/2020,C042,N/A,Toilet Paper,15
203,5/4/2020,C122,N/A,Fruit Cocktail,15
204,5/4/2020,C114,N/A,Peanut Butter Crackers,2
205,5/4/2020,C002,N/A,Juice,2
206,5/6/2020,C005,N/A,Large Bag of Chips,9
207,5/6/2020,C135,N/A,Shampoo,2
208,5/6/2020,C071,N/A,Permanent marker,1
209,5/7/2020,C144,N/A,Peanut Butter,7
210,5/10/2020,C137,N/A,Shampoo,9
211,5/10/2020,C029,N/A,Chunk Chicken Breast,13
212,5/10/2020,C137,N/A,Notebooks,15
213,5/11/2020,C100,N/A,Peanut Butter Crackers,11
214,5/11/2020,C088,N/A,Bodywash,15
215,5/11/2020,C060,N/A,Oatmeal,4
216,5/11/2020,C145,N/A,Chili Beans,10
217,5/12/2020,C147,N/A,Peanut Butter Crackers,8
218,5/12/2020,C025,N/A,Pretzels,13
219,5/12/2020,C132,N/A,Chili Beans,14
220,5/12/2020,C106,N/A,Pear Halves,10
221,5/12/2020,C078,N/A,Canned Vegetables,10
222,5/12/2020,C044,N/A,Rice,9
223,5/13/2020,C145,N/A,Cereal,7
224,5/13/2020,C122,N/A,Canned Beans,14
225,5/13/2020,C072,N/A,Mac and Cheese,10
226,5/14/2020,C110,N/A,Campus Kitchens Meals,7
227,5/14/2020,C075,N/A,Peanut Butter Crackers,14
228,5/15/2020,C132,N/A,Pineapple,7
229,5/16/2020,C033,N/A,Pasta,15
230,5/17/2020,C051,N/A,Peanut Butter Crackers,10
231,5/17/2020,C123,N/A,Carrots,4
232,5/17/2020,C045,N/A,Oatmeal,3
233,5/18/2020,C122,N/A,Broccoli and Cheese,8
234,5/18/2020,C053,N/A,Pear Halves,12
235,5/19/2020,C135,N/A,Campus Kitchens Meals,5
236,5/19/2020,C005,N/A,Rice Krispies Treats,8
237,5/22/2020,C049,N/A,Spaghetti Rings Pasta,14
238,5/22/2020,C005,N/A,Deodorant,10
239,5/23/2020,C104,N/A,Pretzels,4
240,5/23/2020,C012,N/A,Beets,1
241,5/24/2020,C048,N/A,Pear Halves,14
242,5/25/2020,C138,N/A,Toothpaste,7
243,5/25/2020,C100,N/A,Spaghetti Rings Pasta,2
244,5/26/2020,C113,N/A,Applesauce (ind),11
245,5/27/2020,C014,N/A,Bodywash,8
246,5/28/2020,C109,N/A,Granola / Snack Bars,9
247,5/28/2020,C031,N/A,Pens,8
248,5/28/2020,C101,N/A,Applesauce (ind),9
249,5/28/2020,C003,N/A,Applesauce (ind),8
250,5/28/2020,C098,N/A,Bodywash,15
251,5/29/2020,C116,N/A,Feminine Products (Pads),14
252,5/30/2020,C047,N/A,Pretzels,13
253,5/30/2020,C016,N/A,Cereal (ind),2
254,6/2/2020,C127,N/A,Dental Floss,2
255,6/3/2020,C017,N/A,Chicken and Dumplings,1
256,6/3/2020,C085,N/A,Juice Boxes,1
257,6/3/2020,C074,N/A,Diced Tomatoes,15
258,6/4/2020,C021,N/A,Juice Boxes,5
259,6/5/2020,C046,N/A,Nutri Grain Bars,3
260,6/5/2020,C061,N/A,Rice,12
261,6/6/2020,C008,N/A,Juice Boxes,1
262,6/6/2020,C076,N/A,Feminine Products (Pads),15
263,6/6/2020,C035,N/A,Peanut Butter,4
264,6/7/2020,C026,N/A,Juice Boxes,7
265,6/7/2020,C096,N/A,Lotion,7
266,6/8/2020,C122,N/A,Green Beans,12
267,6/8/2020,C144,N/A,Juice Boxes,3
268,6/8/2020,C045,N/A,Deodorant,8
269,6/9/2020,C014,N/A,Tomato Soup,8
270,6/10/2020,C133,N/A,Pineapple,7
271,6/10/2020,C114,N/A,Grits (can/package),12
272,6/10/2020,C026,N/A,Bodywash,4
273,6/11/2020,C103,N/A,Vienna Sausages,7
274,6/11/2020,C051,N/A,Juice Boxes,12
275,6/13/2020,C052,N/A,Juice Boxes,15
276,6/13/2020,C130,N/A,Deodorant,14
277,6/14/2020,C037,N/A,Makeup remover,12
278,6/14/2020,C107,N/A,Fruit cup,11
279,6/14/2020,C102,N/A,Washcloth,7
280,6/15/2020,C021,N/A,Cheese Crackers,1
281,6/15/2020,C106,N/A,Ravioli,3
282,6/16/2020,C098,N/A,Corn,6
283,6/16/2020,C058,N/A,Grits (ind),1
284,6/17/2020,C069,N/A,Lotion,13
285,6/18/2020,C073,N/A,Notebooks,3
286,6/18/2020,C078,N/A,Ramen,15
287,6/19/2020,C008,N/A,Fruit / Cereal / Breakfast Bar,12
288,6/19/2020,C118,N/A,Peanut Butter,5
289,6/20/2020,C116,N/A,Highlighters,1
290,6/20/2020,C068,N/A,Softener,9
291,6/20/2020,C015,N/A,Ravioli,14
292,6/20/2020,C142,N/A,Granola Bars,13
293,6/21/2020,C009,N/A,Garbanzo Beans,14
294,6/22/2020,C077,N/A,Rice Krispies Treats,12
295,6/23/2020,C039,N/A,Washcloth,3
296,6/23/2020,C033,N/A,Fruit Cocktail,12
297,6/23/2020,C044,N/A,Page-protector,3
298,6/24/2020,C024,N/A,Bread,9
299,6/24/2020,C079,N/A,Chunk Chicken Breast,9
300,6/24/2020,C089,N/A,Canned Vegetables,6
301,6/27/2020,C061,N/A,Testing Material/Blue Book/Scantron,14
302,6/27/2020,C095,N/A,Nutri Grain Bars,4
303,6/27/2020,C143,N/A,Feminine Products (Pads),5
304,6/28/2020,C085,N/A,Feminine Products (Pads),8
305,6/29/2020,C029,N/A,Black Beans,2
306,6/29/2020,C024,N/A,Pinto Beans,4
307,6/29/2020,C013,N/A,Spaghetti Rings Pasta,2
308,6/29/2020,C103,N/A,Seasonings,7
309,7/3/2020,C008,N/A,Fruit cup,11
310,7/4/2020,C083,N/A,Toothpaste,10
311,7/5/2020,C048,N/A,Dental Floss,9
312,7/5/2020,C014,N/A,Pretzels,7
313,7/5/2020,C108,N/A,Ravioli,7
314,7/6/2020,C141,N/A,Chips/Crackers,10
315,7/8/2020,C101,N/A,Spaghetti Rings Pasta,6
316,7/8/2020,C117,N/A,Pasta,1
317,7/9/2020,C132,N/A,Nutri Grain Bars,2
318,7/10/2020,C115,N/A,Pickles,14
319,7/11/2020,C041,N/A,Bodywash,6
320,7/12/2020,C047,N/A,Bread,2
321,7/13/2020,C009,N/A,Fruit Cocktail,6
322,7/13/2020,C010,N/A,Chicken and Stars,10
323,7/14/2020,C061,N/A,Black Beans,14
324,7/14/2020,C058,N/A,Cake Mix,9
325,7/14/2020,C012,N/A,Feminine Products (Tampons),10
326,7/15/2020,C150,N/A,Softener,3
327,7/15/2020,C050,N/A,Juice,6
328,7/16/2020,C001,N/A,Feminine Products (Tampons),3
329,7/18/2020,C061,N/A,Notebooks,9
330,7/19/2020,C123,N/A,Canned Vegetables,9
331,7/19/2020,C033,N/A,Bar Soap,8
332,7/20/2020,C126,N/A,Vegetable and Beef Soup,4
333,7/20/2020,C065,N/A,Toilet Paper,7
334,7/20/2020,C035,N/A,Juice,13
335,7/22/2020,C056,N/A,Canned Vegetables,5
336,7/22/2020,C046,N/A,Campus Kitchens Meals,6
337,7/23/2020,C112,N/A,Chips/Crackers,3
338,7/23/2020,C109,N/A,Deodorant,7
339,7/24/2020,C090,N/A,Juice Boxes,8
340,7/25/2020,C038,N/A,Highlighters,9
341,7/25/2020,C070,N/A,Applesauce (ind),4
342,7/26/2020,C127,N/A,Pretzels,8
343,7/26/2020,C095,N/A,Seasonings,2
344,7/26/2020,C043,N/A,Pineapple,9
345,7/26/2020,C040,N/A,Pineapple,4
346,7/27/2020,C033,N/A,Shampoo,7
347,7/27/2020,C110,N/A,Campus Kitchens Meals,3
348,7/28/2020,C131,N/A,Lotion,13
349,7/28/2020,C119,N/A,Pasta,6
350,7/29/2020,C119,N/A,Peanut Butter Crackers,1
351,7/30/2020,C095,N/A,Bar Soap,7
352,7/30/2020,C092,N/A,Peanut Butter,2
353,7/31/2020,C133,N/A,Grits (can/package),5
354,7/31/2020,C029,N/A,Spaghetti Noodles,14
355,8/2/2020,C043,N/A,Alfredo,8
356,8/3/2020,C037,N/A,Peanut Butter,13
357,8/4/2020,C061,N/A,Pear Halves,3
358,8/4/2020,C130,N/A,Canned Vegetables,9
359,8/4/2020,C140,N/A,Chicken and Stars,11
360,8/4/2020,C135,N/A,Softener,4
361,8/5/2020,C102,N/A,Large Bag of Chips,2
362,8/5/2020,C092,N/A,Vienna Sausages,7
363,8/5/2020,C064,N/A,Binders,5
364,8/7/2020,C028,N/A,Laundry Detergent,5
365,8/8/2020,C001,N/A,Juice Boxes,10
366,8/8/2020,C038,N/A,Toothpaste,12
367,8/8/2020,C085,N/A,Bodywash,2
368,8/8/2020,C090,N/A,Page-protector,6
369,8/9/2020,C030,N/A,Pretzels,7
370,8/10/2020,C141,N/A,Shampoo,12
371,8/10/2020,C079,N/A,Toothbrushes,3
372,8/11/2020,C048,N/A,Highlighters,3
373,8/12/2020,C064,N/A,Cheese Crackers,4
374,8/13/2020,C031,N/A,Peanut Butter Crackers,4
375,8/14/2020,C047,N/A,Sparkling Water,4
376,8/15/2020,C109,N/A,Granola / Snack Bars,9
377,8/15/2020,C038,N/A,Toothbrushes,4
378,8/16/2020,C142,N/A,Sparkling Water,9
379,8/16/2020,C008,N/A,Canned Vegetables,11
380,8/18/2020,C148,N/A,Pinto Beans,2
381,8/18/2020,C123,N/A,Feminine Products (Pads),9
382,8/18/2020,C086,N/A,Granola Bars,1
383,8/19/2020,C061,N/A,Spaghetti Rings Pasta,4
384,8/19/2020,C097,N/A,Chicken Noodle Soup,2
385,8/20/2020,C014,N/A,Page-protector,14
386,8/20/2020,C075,N/A,Canned Beans,3
387,8/20/2020,C132,N/A,Oatmeal,12
388,8/21/2020,C118,N/A,Spaghetti Noodles,14
389,8/21/2020,C139,N/A,Pencils,5
390,8/21/2020,C072,N/A,Applesauce (ind),9
391,8/21/2020,C144,N/A,Juice Boxes,5
392,8/22/2020,C139,N/A,Pens,8
393,8/22/2020,C096,N/A,Ramen,4
394,8/22/2020,C062,N/A,Bodywash,2
395,8/22/2020,C001,N/A,Chicken Noodle Soup,10
396,8/22/2020,C130,N/A,Vegetable and Beef Soup,8
397,8/23/2020,C011,N/A,Pinto Beans,7
398,8/23/2020,C050,N/A,Peas,1
399,8/24/2020,C144,N/A,Toothbrushes,7
400,8/25/2020,C002,N/A,Cannellini Beans,9
401,8/26/2020,C143,N/A,Makeup remover,8
402,8/27/2020,C083,N/A,Beefaroni,10
403,8/27/2020,C003,N/A,Pasta,6
404,8/29/2020,C024,N/A,Bean with Bacon Soup,9
405,8/30/2020,C053,N/A,Grits (ind),1
406,8/30/2020,C141,N/A,Cereal (ind),2
407,8/30/2020,C071,N/A,Juice Boxes,4
408,8/30/2020,C059,N/A,Fruit cup,4
409,8/30/2020,C137,N/A,Grits (can/package),12
410,8/31/2020,C021,N/A,Bread,12
411,8/31/2020,C121,N/A,Dental Floss,2
412,9/1/2020,C016,N/A,Pinto Beans,5
413,9/1/2020,C107,N/A,Laundry Detergent,7
414,9/2/2020,C013,N/A,Rice Krispies Treats,1
415,9/2/2020,C112,N/A,Toilet Paper,10
416,9/2/2020,C072,N/A,Cereal,5
417,9/2/2020,C125,N/A,Bar Soap,2
418,9/3/2020,C105,N/A,Juice,6
419,9/3/2020,C126,N/A,Fruit Cocktail,2
420,9/4/2020,C044,N/A,Broccoli and Cheese,2
421,9/4/2020,C150,N/A,Bar Soap,10
422,9/4/2020,C031,N/A,Juice,6
423,9/5/2020,C057,N/A,Page-protector,8
424,9/5/2020,C116,N/A,Nutri Grain Bars,9
425,9/6/2020,C064,N/A,Bean with Bacon Soup,9
426,9/6/2020,C110,N/A,Highlighters,15
427,9/8/2020,C108,N/A,Peanut Butter,3
428,9/9/2020,C134,N/A,Peanut Butter,15
429,9/9/2020,C128,N/A,Green Beans,8
430,9/9/2020,C062,N/A,Juice,11
431,9/10/2020,C076,N/A,Seasonings,4
432,9/10/2020,C049,N/A,Highlighters,8
433,9/10/2020,C148,N/A,Carrots,9
434,9/11/2020,C019,N/A,Pens,4
435,9/11/2020,C119,N/A,Peanut Butter,10
436,9/11/2020,C029,N/A,Grits (can/package),3
437,9/12/2020,C066,N/A,Softener,1
438,9/12/2020,C014,N/A,Chicken Noodle Soup,5
439,9/12/2020,C120,N/A,Peanut Butter Crackers,8
440,9/13/2020,C126,N/A,Green Beans,1
441,9/13/2020,C072,N/A,Bean with Bacon Soup,4
442,9/14/2020,C101,N/A,Garbanzo Beans,6
443,9/14/2020,C088,N/A,Granola Bars,13
444,9/15/2020,C107,N/A,Chicken Noodle Soup,8
445,9/15/2020,C137,N/A,Binders,7
446,9/15/2020,C102,N/A,Fruit Cocktail,7
447,9/15/2020,C063,N/A,Pinto Beans,8
448,9/15/2020,C040,N/A,Bread,9
449,9/16/2020,C127,N/A,Bean with Bacon Soup,9
450,9/16/2020,C067,N/A,Chicken and Dumplings,2
451,9/17/2020,C137,N/A,Cake Mix,5
452,9/17/2020,C069,N/A,Chicken and Dumplings,7
453,9/19/2020,C133,N/A,Tomato Soup,8
454,9/19/2020,C001,N/A,Shampoo,4
455,9/20/2020,C108,N/A,Peanut Butter,8
456,9/20/2020,C060,N/A,Fruit Cocktail,11
457,9/20/2020,C141,N/A,Beets,12
458,9/21/2020,C003,N/A,Notebooks,7
459,9/21/2020,C135,N/A,Cheese Crackers,5
460,9/22/2020,C102,N/A,"Laundry Detergent, Softener, Scent Booster",15
461,9/22/2020,C024,N/A,Tomato Soup,8
462,9/22/2020,C130,N/A,Spaghetti Rings Pasta,2
463,9/22/2020,C047,N/A,Fruit / Cereal / Breakfast Bar,4
464,9/23/2020,C103,N/A,Fruit Cocktail,3
465,9/24/2020,C082,N/A,Canned Vegetables,15
466,9/24/2020,C016,N/A,Pretzels,5
467,9/25/2020,C139,N/A,Pasta,4
468,9/25/2020,C095,N/A,Canned Beans,13
469,9/26/2020,C020,N/A,Dental Floss,2
470,9/26/2020,C127,N/A,Sparkling Water,2
471,9/27/2020,C149,N/A,Seasonings,3
472,9/27/2020,C104,N/A,Permanent marker,5
473,9/27/2020,C125,N/A,Highlighters,6
474,9/27/2020,C096,N/A,Softener,14
475,9/28/2020,C053,N/A,Grits (can/package),3
476,9/29/2020,C001,N/A,Bar Soap,4
477,9/29/2020,C068,N/A,Washcloth,15
478,9/29/2020,C076,N/A,Ramen,2
479,9/29/2020,C076,N/A,Applesauce (ind),11
480,10/1/2020,C085,N/A,Cannellini Beans,9
481,10/1/2020,C133,N/A,Applesauce (ind),6
482,10/1/2020,C081,N/A,Cheese Crackers,8
483,10/2/2020,C002,N/A,Pretzels,12
484,10/3/2020,C047,N/A,Light Red Kidney Beans,2
485,10/4/2020,C020,N/A,Peanut Butter Crackers,3
486,10/5/2020,C046,N/A,Cereal (ind),9
487,10/5/2020,C017,N/A,Beets,9
488,10/6/2020,C025,N/A,"Laundry Detergent, Softener, Scent Booster",9
489,10/7/2020,C123,N/A,Green Beans,9
490,10/8/2020,C084,N/A,Chunk Chicken Breast,9
491,10/8/2020,C125,N/A,Green Beans,7
492,10/8/2020,C040,N/A,Washcloth,2
493,10/8/2020,C039,N/A,Mac and Cheese,6
494,10/8/2020,C132,N/A,Cheese Crackers,4
495,10/10/2020,C034,N/A,Cheese Crackers,4
496,10/12/2020,C092,N/A,Toilet Paper,2
497,10/14/2020,C008,N/A,Garbanzo Beans,5
498,10/14/2020,C143,N/A,Pineapple,7
499,10/15/2020,C147,N/A,Canned Vegetables,14
500,10/16/2020,C010,N/A,Page-protector,10
501,10/16/2020,C021,N/A,Vegetable and Beef Soup,3
502,10/18/2020,C018,N/A,"Laundry Detergent, Softener, Scent Booster",8
503,10/18/2020,C082,N/A,Chili Beans,6
504,10/19/2020,C073,N/A,Binders,3
505,10/19/2020,C008,N/A,Juice,9
506,10/19/2020,C134,N/A,Toothbrushes,3
507,10/19/2020,C020,N/A,Juice,15
508,10/19/2020,C108,N/A,Peanut Butter Crackers,13
509,10/19/2020,C023,N/A,Grits (can/package),14
510,10/20/2020,C067,N/A,Grits (can/package),10
511,10/20/2020,C126,N/A,Scent Booster,2
512,10/22/2020,C069,N/A,Lotion,12
513,10/23/2020,C107,N/A,Cake Mix,10
514,10/24/2020,C071,N/A,Pinto Beans,14
515,10/24/2020,C080,N/A,Cheese Crackers,11
516,10/24/2020,C087,N/A,Chicken Noodle Soup,3
517,10/25/2020,C027,N/A,Canned Beans,2
518,10/26/2020,C087,N/A,Cake Mix,10
519,10/26/2020,C008,N/A,Ravioli,3
520,10/26/2020,C129,N/A,Broccoli and Cheese,7
521,10/28/2020,C120,N/A,Granola Bars,10
522,10/28/2020,C094,N/A,Carrots,12
523,10/29/2020,C025,N/A,Fruit cup,12
524,10/29/2020,C071,N/A,Scent Booster,2
525,10/29/2020,C026,N/A,Lotion,5
526,10/29/2020,C017,N/A,Spaghetti Noodles,9
527,10/29/2020,C009,N/A,Washcloth,6
528,10/30/2020,C119,N/A,Broccoli and Cheese,11
529,10/30/2020,C055,N/A,Oatmeal,4
530,11/2/2020,C134,N/A,Permanent marker,3
531,11/2/2020,C076,N/A,Notebooks,1
532,11/2/2020,C053,N/A,Sparkling Water,1
533,11/2/2020,C090,N/A,Spaghetti Rings Pasta,3
534,11/2/2020,C141,N/A,Juice,3
535,11/3/2020,C056,N/A,Softener,2
536,11/3/2020,C126,N/A,Juice,10
537,11/3/2020,C006,N/A,Notebooks,1
